Player,Contract Expiry,Annaual Salary (£)
Casemiro,2026,"18,200,000"
Raphael Varane,2025,"17,700,000"
Marcus Rashford,2028,"15,600,000"
Anthony Martial,2024,"13,000,000"
Jadon Sancho,2026,"13,000,000"
Mason Mount,2028,"13,000,000"
Bruno Fernandes,2026,"12,500,000"
Antony,2027,"10,400,000"
Harry Maguire,2025,"9,900,000"
Christian Eriksen,2025,"7,800,000"
Luke Shaw,2027,"7,800,000"
Andre Onana,2028,"6,200,000"
Donny van de Beek,2025,"6,200,000"
Lisandro Martinez,2027,"6,200,000"
Victor Lindelof,2025,"6,200,000"
Aaron Wan-Bissaka,2025,"4,700,000"
Diogo Dalot,2028,"4,400,000"
Rasmus Hojlund,2028,"4,400,000"
Tyrell Malacia,2026,"3,900,000"
Sofyan Amrabat,2024,"3,400,000"
Jonny Evans,2024,"3,100,000"
Scott McTominay,2025,"3,100,000"
Sergio Reguilon,2024,"2,800,000"
Alejandro Garnacho,2028,"2,600,000"
Shola Shoretire,,"2,300,000"
Tom Heaton,2024,"2,300,000"
Altay Bayindir,2027,"1,800,000"
Amad Diallo,2025,"1,500,000"
Facundo Pellistri,2025,"1,000,000"
Kobbie Mainoo,2027,"520,000"
Hannibal Mejbri,2025,"260,000"
