,PLAYER NAME,NATION,POSITION,AGE,MATCHES PLAYED,STARTS,MINUTES,GOALS,ASISTS,GOALS & ASSISTS,NON-PENALTY GOALS,PENALTY KICK,YELLOW CARDS,RED CARDS
0,André Onana,Cameroon,GK,27,51,51,4.65,0,0,0,0,0,6,0
1,Diogo Dalot,Portugal,DF,24,50,48,4.364,3,5,8,3,0,7,1
2,Bruno Fernandes,Portugal,MF,28,48,47,4.284,15,13,28,9,6,12,0
3,Alejandro Garnacho,Argentina,FW,19,50,41,3.56,10,5,15,10,0,4,0
4,Rasmus Højlund,Denmark,FW,20,43,35,3.072,16,2,18,16,0,2,0
5,Marcus Rashford,England,FW,25,43,35,3.046,8,5,13,6,2,2,1
6,Scott McTominay,Scotland,MF,26,43,27,2.783,10,3,13,10,0,4,0
7,Casemiro,Brazil,MF,31,32,31,2.573,5,3,8,5,0,11,1
8,Aaron Wan-Bissaka,England,DF,25,30,26,2.407,0,3,3,0,0,5,0
9,Kobbie Mainoo,England,MF,18,32,29,2.389,5,1,6,5,0,4,0
10,Harry Maguire,England,DF,30,31,25,2.314,4,2,6,4,0,5,0
11,Raphaël Varane,France,DF,30,32,25,2.212,1,0,1,1,0,2,0
12,Victor Lindelöf,Sweden,DF,29,28,20,1.956,1,1,2,1,0,3,0
13,Antony,Brazil,FW,23,38,21,1.91,3,2,5,3,0,6,0
14,Jonny Evans,Northern Ireland,DF,35,30,17,1.598,0,1,1,0,0,2,0
15,Sofyan Amrabat,MAR,MF,26,30,17,1.547,0,0,0,0,0,9,0
16,Christian Eriksen,Denmark,MF,31,28,14,1.434,1,3,4,1,0,1,0
17,Luke Shaw,England,DF,28,15,15,1.175,0,1,1,0,0,7,0
18,Lisandro Martínez,Argentina,DF,25,14,11,896.0,0,1,1,0,0,4,0
19,Mason Mount,England,MF,24,20,8,759.0,1,1,2,1,0,2,0
20,Sergio Reguilón,Spain,DF,26,12,7,654.0,0,0,0,0,0,4,0
21,Anthony Martial,France,FW,27,19,7,635.0,2,1,3,2,0,0,0
22,Amad Diallo,Ivory Coast,FW,21,12,3,474.0,2,1,3,2,0,3,1
23,Facundo Pellistri,Uruguay,FW,21,14,3,375.0,0,1,1,0,0,0,0
24,Willy Kambwala,France,DF,18,10,3,347.0,0,0,0,0,0,1,0
25,Hannibal Mejbri,Tunisia,MF,20,10,4,330.0,1,0,1,1,0,3,0
26,Omari Forson,England,MF,19,7,1,92.0,0,1,1,0,0,0,0
27,Altay Bay?nd?r,Turkey,GK,25,1,1,90.0,0,0,0,0,0,0,0
28,Jadon Sancho,England,FW,23,3,0,79.0,0,0,0,0,0,0,0
29,Daniel Gore,England,MF,18,2,0,31.0,0,0,0,0,0,0,0
30,Donny van de Beek,Netherlands,DF,26,2,0,23.0,0,0,0,0,0,0,0
31,Ethan Wheatley,England,FW,17,3,0,16.0,0,0,0,0,0,0,0
32,Shola Shoretire,England,MF,19,0,0,0.0,0,0,0,0,0,0,0
33,Harry Amass,England,DF,16,0,0,0.0,0,0,0,0,0,0,0
34,Habeeb Ogunneye,England,DF,18,0,0,0.0,0,0,0,0,0,0,0
35,Louis Jackson,Scotland,DF,17,0,0,0.0,0,0,0,0,0,0,0
36,Rhys Bennett,England,DF,19,0,0,0.0,0,0,0,0,0,0,0
37,Toby Collyer,England,MF,19,0,0,0.0,0,0,0,0,0,0,0
38,Álvaro Carreras,Spain,DF,20,0,0,0.0,0,0,0,0,0,0,0
39,Tom Heaton,England,GK,37,0,0,0.0,0,0,0,0,0,0,0
40,Dermot Mee,Northern Ireland,GK,20,0,0,0.0,0,0,0,0,0,0,0
41,Dean Henderson,England,GK,26,0,0,0.0,0,0,0,0,0,0,0
42,Joe Hugill,England,FW,19,0,0,0.0,0,0,0,0,0,0,0
43,Radek Vítek, Czech Republic,GK,19,0,0,0.0,0,0,0,0,0,0,0
