DATE,TIME,COMPETITION,Round,Day,Venue,Result,GOALS SCORED,GOALS CONCEDED,Opponent,xG,xGA,POSESSTION,Attendance,Captain,REFEREE
2023/08/14,20:00 (21:00),Premier League,Matchweek 1,Mon,Home,W,1,0,Wolves,2.2,2.2,51,"73,358",Bruno Fernandes,Simon Hooper
2023/08/19,17:30 (18:30),Premier League,Matchweek 2,Sat,Away,L,0,2,Tottenham,2.1,1.7,45,"61,910",Bruno Fernandes,Michael Oliver
2023/08/26,15:00 (16:00),Premier League,Matchweek 3,Sat,Home,W,3,2,Nott'ham Forest,2.8,1.2,66,"73,595",Bruno Fernandes,Stuart Attwell
2023/09/03,16:30 (17:30),Premier League,Matchweek 4,Sun,Away,L,1,3,Arsenal,0.9,2.3,45,"60,192",Bruno Fernandes,Anthony Taylor
2023/09/16,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,L,1,3,Brighton,1,1.7,44,"73,592",Bruno Fernandes,Jarred Gillett
2023/09/20,21:00,Champions Lg,Group stage,Wed,Away,L,3,4,de Bayern Munich,1.7,2.2,41,"75,000",Bruno Fernandes,Glenn Nyberg
2023/09/23,20:00 (21:00),Premier League,Matchweek 6,Sat,Away,W,1,0,Burnley,1,1.1,39,"21,593",Bruno Fernandes,Tony Harrington
2023/09/26,20:00 (21:00),EFL Cup,Third round,Tue,Home,W,3,0,Crystal Palace,,,69,"72,842",Raphaël Varane,Michael Salisbury
2023/09/30,15:00 (16:00),Premier League,Matchweek 7,Sat,Home,L,0,1,Crystal Palace,1.3,0.9,77,"73,428",Bruno Fernandes,Chris Kavanagh
2023/10/03,20:00 (21:00),Champions Lg,Group stage,Tue,Home,L,2,3,tr Galatasaray,2.3,2.6,55,"73,204",Bruno Fernandes,Ivan Kružliak
2023/10/07,15:00 (16:00),Premier League,Matchweek 8,Sat,Home,W,2,1,Brentford,1.4,0.9,64,"73,453",Bruno Fernandes,Andy Madley
2023/10/21,20:00 (21:00),Premier League,Matchweek 9,Sat,Away,W,2,1,Sheffield Utd,1.1,1.4,62,"31,543",Bruno Fernandes,Michael Oliver
