NAME,P,YC,RC,PTS
Bruno Fernandes,35,9,0,9
Diogo Dalot,36,5,1,8
Casemiro,25,7,0,7
Sofyan Amrabat,21,6,0,6
Luke Shaw,12,6,0,6
André Onana,38,5,0,5
Aaron Wan-Bissaka,22,4,0,4
Harry Maguire,22,4,0,4
Lisandro Martínez,11,3,0,3
Scott McTominay,32,2,0,2
Mason Mount,14,2,0,2
Victor Lindelöf,19,2,0,2
Raphaël Varane,22,2,0,2
Jonny Evans,23,2,0,2
Christian Eriksen,22,1,0,1
Willy Kambwala,8,1,0,1
Omari Forson,4,0,0,0
Toby Collyer,0,0,0,0
Habeeb Ogunneye,0,0,0,0
Harry Amass,0,0,0,0
Louis Jackson,0,0,0,0
Dermot Mee,0,0,0,0
Altay Bayindir,0,0,0,0
Tom Heaton,0,0,0,0
