Rk,Date,Round,Venue,Player,Opponent,Start,Body Part,Distance,Minute,Goalkeeper,Assist,GCA1,GCA2
1,2024/02/01,Matchweek 22,Away,Kobbie Mainoo,Wolves,Y,Right Foot,18,97,José Sá,Omari Forson,Kobbie Mainoo,Kobbie Mainoo
2,2023/10/07,Matchweek 8,Home,Scott McTominay,Brentford,N,Head,7,97,Thomas Strakosha,Harry Maguire,Harry Maguire,Bruno Fernandes
3,2024/03/30,Matchweek 30,Away,Mason Mount,Brentford,N,Left Foot,11,96,Mark Flekken,Casemiro,Casemiro,Casemiro
4,2023/10/07,Matchweek 8,Home,Scott McTominay,Brentford,N,Right Foot,12,93,Thomas Strakosha,,Diogo Dalot,
5,2023/11/04,Matchweek 11,Away,Bruno Fernandes,Fulham,Y,Right Foot,18,91,Bernd Leno,Facundo Pellistri,Bruno Fernandes,Bruno Fernandes
6,2024/02/24,Matchweek 26,Home,Harry Maguire,Fulham,Y,Left Foot,4,89,Bernd Leno,,Bruno Fernandes,
7,2024/05/19,Matchweek 38,Away,Rasmus Højlund,Brighton,N,Right Foot,12,88,Jason Steele,Christian Eriksen,Rasmus Højlund,Christian Eriksen
8,2024/02/11,Matchweek 24,Away,Scott McTominay,Aston Villa,N,Head,9,86,Emiliano Martínez,Diogo Dalot,Diogo Dalot,Raphaël Varane
9,2024/04/24,Matchweek 29,Home,Rasmus Højlund,Sheffield Utd,Y,Left Foot,6,85,Wes Foderingham,Bruno Fernandes,Bruno Fernandes,Diogo Dalot
10,2024/05/15,Matchweek 34,Home,Rasmus Højlund,Newcastle Utd,N,Right Foot,15,84,Martin Dúbravka,Bruno Fernandes,Bruno Fernandes,Marcus Rashford
11,2024/02/04,Matchweek 23,Home,Alejandro Garnacho,West Ham,Y,Right Foot,13,84,?ukasz Fabia?ski,Scott McTominay,Scott McTominay,Scott McTominay
12,2023/12/26,Matchweek 19,Home,Rasmus Højlund,Aston Villa,Y,Left Foot,11,82,Emiliano Martínez,,Antony,
13,2024/04/24,Matchweek 29,Home,Bruno Fernandes,Sheffield Utd,Y,Left Foot,30,81,Wes Foderingham,Kobbie Mainoo,Kobbie Mainoo,Aaron Wan-Bissaka
14,2024/04/27,Matchweek 35,Home,Antony,Burnley,Y,Left Foot,16,79,Arijanet Muric,,Antony,
15,2023/12/30,Matchweek 20,Away,Marcus Rashford,Nott'ham Forest,Y,Right Foot,16,78,Matt Turner,Alejandro Garnacho,Alejandro Garnacho,Alejandro Garnacho
