Player,Nation
Casemiro,Brazil
Raphaël Varane,France
Marcus Rashford,England
Mason Mount,England
Anthony Martial,France
Jadon Sancho,England
Bruno Fernandes,Portugal
Antony,Brazil
Harry Maguire,England
Luke Shaw,England
Christian Eriksen,Denmark
Victor Lindelöf,Sweden
Lisandro Martínez,Argentina
André Onana,Cameroon
Aaron Wan-Bissaka,England
Donny van de Beek,Netherlands
Rasmus Højlund,Denmark
Diogo Dalot,Portugal
Tyrell Malacia,Netherlands
Jonny Evans,Northern Ireland
Sofyan Amrabat,Morocco
Scott McTominay,Scotland
Alejandro Garnacho,Argentina
Tom Heaton,England
Altay Bayındır,Turkey
Amad Diallo,Ivory Coast
Facundo Pellistri,Uruguay
Hannibal,France
Kobbie Mainoo,England
Shola Shoretire,England
