,Player,Contract Expiry,Annaual Salary (£)
0,Casemiro,2026,"18,200,000"
1,Raphael Varane,2025,"17,700,000"
2,Marcus Rashford,2028,"15,600,000"
3,Anthony Martial,2024,"13,000,000"
4,Jadon Sancho,2026,"13,000,000"
5,Mason Mount,2028,"13,000,000"
6,Bruno Fernandes,2026,"12,500,000"
7,Antony,2027,"10,400,000"
8,Harry Maguire,2025,"9,900,000"
9,Christian Eriksen,2025,"7,800,000"
10,Luke Shaw,2027,"7,800,000"
11,Andre Onana,2028,"6,200,000"
12,Donny van de Beek,2025,"6,200,000"
13,Lisandro Martinez,2027,"6,200,000"
14,Victor Lindelof,2025,"6,200,000"
15,Aaron Wan-Bissaka,2025,"4,700,000"
16,Diogo Dalot,2028,"4,400,000"
17,Rasmus Hojlund,2028,"4,400,000"
18,Tyrell Malacia,2026,"3,900,000"
19,Sofyan Amrabat,2024,"3,400,000"
20,Jonny Evans,2024,"3,100,000"
21,Scott McTominay,2025,"3,100,000"
22,Sergio Reguilon,2024,"2,800,000"
23,Alejandro Garnacho,2028,"2,600,000"
24,Shola Shoretire,2025,"2,300,000"
25,Tom Heaton,2024,"2,300,000"
26,Altay Bayindir,2027,"1,800,000"
27,Amad Diallo,2025,"1,500,000"
28,Facundo Pellistri,2025,"1,000,000"
29,Kobbie Mainoo,2027,"520,000"
30,Hannibal Mejbri,2025,"260,000"
