,NAME,P,G
0,Bruno Fernandes,35,10
1,Rasmus Højlund,30,10
2,Alejandro Garnacho,36,7
3,Marcus Rashford,33,7
4,Scott McTominay,32,7
5,Kobbie Mainoo,24,3
6,Diogo Dalot,36,2
7,Harry Maguire,22,2
8,Antony,29,1
9,Casemiro,25,1
10,Raphaël Varane,22,1
11,Christian Eriksen,22,1
12,Victor Lindelöf,19,1
13,Mason Mount,14,1
14,Anthony Martial,13,1
15,Amad,9,1
16,Hannibal Mejbri,5,1
17,André Onana,38,0
18,Jonny Evans,23,0
19,Aaron Wan-Bissaka,22,0
20,Sofyan Amrabat,21,0
21,Luke Shaw,12,0
22,Lisandro Martínez,11,0
23,Facundo Pellistri,9,0
